RX Date/Time,Angle(field 1),Motor Setpoint(field 2),Angle Error(field 3),Speed(field 4),Angle Setpoint(field 5),Speed Error(field 6),Battery voltage(field 7),Position(field 8),Speed Setpoint(field 9),Position Error(field 10),AKp(field 11),AKi(field 12),AKd(field 13),SKp(field 14),SKi(field 15),SKd(field 16)
Pitch: -12.7870998,,,,,,,,,,,,,,
2023/06/16/ 23:14:03::365,
Pitch: -12.9603577,,,,,,,,,,,,,,
2023/06/16/ 23:14:03::390,
Pitch: -13.2695313,,,,,,,,,,,,,,
2023/06/16/ 23:14:03::412,
Pitch: -13.4108391,,,,,,,,,,,,,,
2023/06/16/ 23:14:03::433,
Pitch: -13.5680294,,,,,,,,,,,,,,
2023/06/16/ 23:14:03::460,
Pitch: -13.7455444,,,,,,,,,,,,,,
2023/06/16/ 23:14:03::481,
Pitch: -13.9230471,,,,,,,,,,,,,,
2023/06/16/ 23:14:03::508,
Pitch: -14.0827484,,,,,,,,,,,,,,
2023/06/16/ 23:14:03::515,
Pitch: -14.2475643,,,,,,,,,,,,,,
2023/06/16/ 23:14:03::540,
Pitch: -14.4092741,,,,,,,,,,,,,,
2023/06/16/ 23:14:03::552,
Pitch: -14.7194567,,,,,,,,,,,,,,
2023/06/16/ 23:14:03::571,
Pitch: -14.8685141,,,,,,,,,,,,,,
2023/06/16/ 23:14:03::606,
Pitch: -15.0120401,,,,,,,,,,,,,,
2023/06/16/ 23:14:03::618,
Pitch: -15.1613274,,,,,,,,,,,,,,
2023/06/16/ 23:14:03::625,
Pitch: -15.2968645,,,,,,,,,,,,,,
2023/06/16/ 23:14:03::661,
Pitch: -15.4461174,,,,,,,,,,,,,,
2023/06/16/ 23:14:03::678,
Pitch: -15.5889721,,,,,,,,,,,,,,
2023/06/16/ 23:14:03::694,
Pitch: -15.8993711,,,,,,,,,,,,,,
2023/06/16/ 23:14:03::726,
Pitch: -16.0623798,,,,,,,,,,,,,,
2023/06/16/ 23:14:03::739,
Pitch: -16.1946926,,,,,,,,,,,,,,
2023/06/16/ 23:14:03::759,
Pitch: -16.3353558,,,,,,,,,,,,,,
2023/06/16/ 23:14:03::787,
Pitch: -16.4831696,,,,,,,,,,,,,,
